client_id;sexe;type_conduite;formule;type_vehicule;usage_vehicule;Tranche d'age;Revenus_tranche;Enfants;Enfants accompagne;Tarif devis;Tranche d'age vehicule
1;F;Highly Urban/ Urban;dev_integral;Sports Car;Commercial;[25_40];[60k et +];Oui;Non;[300_600];[5_10]
2;F;Highly Urban/ Urban;dev_express;Minivan;Private;[60 et +];[40k_60k];Oui;Oui;[0_300];[0_5]
3;F;z_Highly Rural/ Rural;dev_express;Pickup;Private;[40_60];[20k_40k];Oui;Non;[0_300];[0_5]
4;F;Highly Urban/ Urban;dev_integral;z_SUV;Private;[0_25];[0_20k];Non;Non;[300_600];[5_10]
5;M;Highly Urban/ Urban;dev_vip;Panel Truck;Commercial;[60 et +];Non renseigné;Non;Non;[600 et +];[10 et +]
6;F;z_Highly Rural/ Rural;dev_premium;z_SUV;Private;[25_40];[60k et +];Oui;Non;[300_600];[10 et +]
7;F;z_Highly Rural/ Rural;dev_express;Minivan;Commercial;[60 et +];[60k et +];Oui;Oui;[0_300];[5_10]
8;M;Highly Urban/ Urban;dev_premium;z_SUV;Private;[60 et +];[40k_60k];Non;Non;[300_600];[10 et +]
9;M;Highly Urban/ Urban;dev_premium;Minivan;Private;[60 et +];[60k et +];Non;Non;[300_600];[10 et +]
10;F;Highly Urban/ Urban;dev_integral;Panel Truck;Commercial;[40_60];Non renseigné;Non;Non;[300_600];[10 et +]
11;F;Highly Urban/ Urban;dev_express;Minivan;Private;[40_60];[20k_40k];Oui;Oui;[0_300];[10 et +]
12;M;Highly Urban/ Urban;dev_premium;z_SUV;Private;[0_25];[20k_40k];Oui;Non;[300_600];[0_5]
13;F;Highly Urban/ Urban;dev_express;z_SUV;Private;[60 et +];[60k et +];Non;Non;[0_300];[10 et +]
14;M;z_Highly Rural/ Rural;dev_integral;Van;Commercial;[0_25];[0_20k];Non;Non;[300_600];[5_10]
15;M;Highly Urban/ Urban;dev_integral;Minivan;Private;[60 et +];[20k_40k];Oui;Non;[300_600];[0_5]
16;M;Highly Urban/ Urban;dev_express;Minivan;Private;[60 et +];[40k_60k];Non;Non;[0_300];[10 et +]
17;F;Highly Urban/ Urban;dev_integral;z_SUV;Private;[40_60];[60k et +];Non;Non;[300_600];[10 et +]
18;F;Highly Urban/ Urban;dev_express;Van;Commercial;[60 et +];[40k_60k];Non;Non;[0_300];[5_10]
